Continent,Location,Date,Population,New_vaccinations,RollingCountVaccinated,f0_
Asia,Afghanistan,2020-03-10T00:00:00,39835428,,,
Asia,Afghanistan,2020-07-08T00:00:00,39835428,,,
Asia,Afghanistan,2020-07-11T00:00:00,39835428,,,
Asia,Afghanistan,2020-08-02T00:00:00,39835428,,,
Asia,Afghanistan,2020-08-18T00:00:00,39835428,,,
Asia,Afghanistan,2020-09-02T00:00:00,39835428,,,
Asia,Afghanistan,2020-09-03T00:00:00,39835428,,,
Asia,Afghanistan,2020-09-08T00:00:00,39835428,,,
Asia,Afghanistan,2020-10-30T00:00:00,39835428,,,
Asia,Afghanistan,2020-11-18T00:00:00,39835428,,,
Asia,Afghanistan,2020-12-04T00:00:00,39835428,,,
Asia,Afghanistan,2021-01-02T00:00:00,39835428,,,
Asia,Afghanistan,2021-02-07T00:00:00,39835428,,,
Asia,Afghanistan,2021-02-10T00:00:00,39835428,,,
Asia,Afghanistan,2021-03-02T00:00:00,39835428,,,
Asia,Afghanistan,2021-03-31T00:00:00,39835428,,,
Asia,Afghanistan,2021-04-30T00:00:00,39835428,,,
Asia,Afghanistan,2021-08-28T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2021-10-08T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2021-11-25T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2021-12-15T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2021-12-19T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2022-01-19T00:00:00,39835428,,6874,0.017256
Asia,Afghanistan,2022-02-27T00:00:00,39835428,,13742,0.0344969
Asia,Afghanistan,2022-04-13T00:00:00,39835428,,13742,0.0344969
Asia,Afghanistan,2022-06-02T00:00:00,39835428,,14125,0.0354584
Europe,Albania,2020-03-27T00:00:00,2872934,,,
Europe,Albania,2020-04-29T00:00:00,2872934,,,
Europe,Albania,2020-04-30T00:00:00,2872934,,,
Europe,Albania,2020-06-08T00:00:00,2872934,,,
Europe,Albania,2020-07-05T00:00:00,2872934,,,
Europe,Albania,2020-11-25T00:00:00,2872934,,,
Europe,Albania,2020-12-16T00:00:00,2872934,,,
Europe,Albania,2020-12-30T00:00:00,2872934,,,
Europe,Albania,2021-03-10T00:00:00,2872934,,2897,0.1008377
Europe,Albania,2021-05-21T00:00:00,2872934,5103,529419,18.4278163
Europe,Albania,2021-07-21T00:00:00,2872934,13029,794015,27.6377738
Europe,Albania,2021-10-12T00:00:00,2872934,6634,1218373,42.4086665
Europe,Albania,2021-10-27T00:00:00,2872934,,1259094,43.8260677
Europe,Albania,2022-01-02T00:00:00,2872934,,1378369,47.9777468
Europe,Albania,2022-02-18T00:00:00,2872934,,1415150,49.2580059
Europe,Albania,2022-03-07T00:00:00,2872934,,1415150,49.2580059
Africa,Algeria,2020-03-01T00:00:00,44616626,,,
Africa,Algeria,2020-03-02T00:00:00,44616626,,,
Africa,Algeria,2020-03-31T00:00:00,44616626,,,
Africa,Algeria,2020-04-07T00:00:00,44616626,,,
Africa,Algeria,2020-04-24T00:00:00,44616626,,,
Africa,Algeria,2020-05-26T00:00:00,44616626,,,
Africa,Algeria,2020-07-01T00:00:00,44616626,,,
Africa,Algeria,2020-07-09T00:00:00,44616626,,,
Africa,Algeria,2020-07-14T00:00:00,44616626,,,
Africa,Algeria,2020-08-21T00:00:00,44616626,,,
Africa,Algeria,2020-12-14T00:00:00,44616626,,,
Africa,Algeria,2021-02-20T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-02-23T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-03-07T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-04-19T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-06-28T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-07-08T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-07-18T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-09-27T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-11-02T00:00:00,44616626,,30,0.0000672
Africa,Algeria,2021-12-12T00:00:00,44616626,,170786,0.3827856
Africa,Algeria,2022-03-10T00:00:00,44616626,,170786,0.3827856
Africa,Algeria,2022-04-04T00:00:00,44616626,,170786,0.3827856
Europe,Andorra,2020-03-05T00:00:00,77354,,,
Europe,Andorra,2020-07-17T00:00:00,77354,,,
Europe,Andorra,2020-08-26T00:00:00,77354,,,
Europe,Andorra,2020-11-09T00:00:00,77354,,,
Europe,Andorra,2020-11-29T00:00:00,77354,,,
Europe,Andorra,2020-12-10T00:00:00,77354,,,
Europe,Andorra,2020-12-28T00:00:00,77354,,,
Europe,Andorra,2021-01-09T00:00:00,77354,,,
Europe,Andorra,2021-01-21T00:00:00,77354,,,
Europe,Andorra,2021-02-01T00:00:00,77354,,,
Europe,Andorra,2021-04-23T00:00:00,77354,,4802,6.2078238
Europe,Andorra,2021-07-30T00:00:00,77354,,4802,6.2078238
Europe,Andorra,2021-08-11T00:00:00,77354,,4802,6.2078238
